case_id,dialect_type,semantic_success,same_meaning,standard_korean,added_fact,omitted_fact,failure_type,rag_hint_count,original_text,gold_standard_text,predicted_standard_text,normalizer_reason,judge_reason,normalizer_error,judge_error
dialect_norm_102,dialect_synthetic,False,False,True,True,True,added_fact,0,"약은 따로 없고, 물만 마셔도 사래가 자주 걸려요.","약은 따로 없고, 물만 마셔도 사레가 자주 걸려요.","약은 따로 없고, 물만 마셔도 오심이 자주 나요.",환자의 의미를 그대로 유지하면서 표준어로 바꾸었습니다.,"모델 표준어 변환문은 '사래'를 '오심'으로 바꾸어 의미가 변경되었고, 또한 '자주 걸려요'를 '자주 나요'로 바꾸어 원문의 의미를 정확하게 반영하지 못했습니다.",,
dialect_norm_108,dialect_synthetic,False,True,True,False,True,omitted_fact,0,이번엔 가래에 피가 쪼매 섞여 나와요.,이번엔 가래에 피가 조금 섞여 나와요.,이번엔 가래에 피가 섞여 나와요.,강원 사투리의 '쪼매'를 표준어의 '섞여'로 바꾸었습니다.,"모델 표준어 변환문은 '조금'이라는 정도 표현을 생략했지만, 문장의 의미는 유지되었습니다.",,
dialect_norm_134,dialect_synthetic,False,False,True,False,True,omitted_fact,0,"약은 없고, 재채기는 안 나는데 기침만 나오드래요.","약은 없고, 재채기는 안 나는데 기침만 나오더라고요.","약은 안 먹고 있는데, 재채기는 나지 않지만 기침만 나요.",환자의 의미를 그대로 유지하면서 표준어로 바꾸었습니다.,"모델 표준어 변환문에서 '없고'가 '안 먹고 있는데'로 변경되어 의미가 왜곡되었고, '나오드래요'가 '나요'로 변경되어 시점 표현이 빠짐",,
dialect_norm_142,dialect_synthetic,False,False,True,False,True,omitted_fact,0,목 아픈 건 나았는데 목소리가 안 돌아오드래요.,목 아픈 건 나았는데 목소리가 안 돌아오더라고요.,목이 아픈 건 나았는데 목소리가 돌아오지 않아요.,"목 아픈 건 나았는데 -> 목이 아픈 건 나았는데로 표준어로 바꾸고, 목소리가 안 돌아오드래요 -> 목소리가 돌아오지 않아요로 표준어로 바꿈.","모델 표준어 변환문은 '목소리가 안 돌아오드래요'를 '목소리가 돌아오지 않아요'로 바꾸었는데, 원문의 부정 표현과 의문형이 변경되어 의미가 일부 변경되었습니다.",,
dialect_norm_149,dialect_synthetic,False,False,True,True,False,added_fact,0,하루에도 몇 번씩 무른 변을 보드래요.,하루에도 몇 번씩 무른 변을 보더라고요.,하루에도 몇 번씩 견과처럼 단단한 변을 보게 되었어요.,강원 방언의 '무른'을 표준어의 '견과처럼 단단한'으로 바꾸었습니다.,모델 표준어 변환문은 '견과처럼 단단한'이라는 새로운 증상 정보를 추가하여 원문의 의미를 변경했습니다.,,
dialect_norm_162,dialect_synthetic,False,False,True,False,True,omitted_fact,0,얼굴이 화끈 달아오를 때가 자주 있드래요.,얼굴이 화끈 달아오를 때가 자주 있더라고요.,얼굴이 자주 붉어지는 일이 많아요.,환자의 의미를 그대로 유지하면서 표준어로 표현하였습니다.,모델 표준어 변환문은 '화끈 달아오르다'의 의미를 '붉어지다'로 바꾸어 원문의 의미를 정확히 반영하지 못했습니다.,,
dialect_norm_173,dialect_synthetic,False,False,True,True,True,added_fact,0,전엔 없던 다리 부기가 상구 빠지질 않아요.,전엔 없던 다리 부기가 아직 빠지질 않아요.,전에는 없었던 다리 부기가 상당히 심해졌어요.,환자의 의미를 그대로 유지하면서 표준어로 바꾸었습니다.,"모델 표준어 변환문은 '상당히 심해졌어요'라는 새로운 증상의 정도를 추가하였고, 원문의 '아직 빠지질 않아요'라는 증상의 지속 상태를 생략하였습니다.",,
dialect_norm_188,dialect_synthetic,False,False,True,False,True,omitted_fact,0,기침은 안 나는데 가래만 자꾸 안주 나와요.,기침은 안 나는데 가래만 자꾸 계속 나와요.,기침은 나지 않지만 가래가 자꾸 나오지 않아요.,강원 방언의 '안주 나와요'를 표준어의 '나지 않아요'로 바꾸었습니다.,"모델 표준어 변환문은 '가래가 자꾸 나오지 않아요'라고 표현하여 원문의 '가래만 자꾸 나와요'라는 의미를 왜곡했습니다. 원문에서는 가래가 나오는 것이 문제이지만, 모델 표준어 변환문은 가래가 나오지 않는다는 부정을 추가하여 의미를 바꿨습니다.",,
dialect_norm_191,dialect_synthetic,False,False,True,False,False,meaning_mismatch,0,밥을 잘 챙겨먹는데도 살이 안주 빠져요.,밥을 잘 챙겨먹는데도 살이 계속 빠져요.,밥을 잘 챙겨먹는데도 체중이 줄어들지 않아요.,환자의 의미를 그대로 유지하면서 표준어로 바꾸었습니다.,"모델 표준어 변환문은 '살이 계속 빠져요' 대신 '체중이 줄어들지 않아요'라고 표현했는데, 원문의 '살이 안주 빠져요'와 의미가 일치하지 않습니다.",,
dialect_norm_192,dialect_synthetic,False,True,False,False,False,not_standard_korean,0,눈이 빨갛고 눈곱이 자꾸 끼드래요.,눈이 빨갛고 눈곱이 자꾸 끼더라고요.,눈이 빨갛고 눈곱이 자꾸 끼어요.,병원 문진 문장을 표준어로 바꾸었습니다.,"모델 표준어 변환문은 의미는 유지하였지만, 표준어로 자연스럽지 않은 표현을 사용하였습니다.",,
